"","mod","A","B","sigma"
"47","RKL",4.107,5.875e-05,9.76365119471448
"48","BHL",23207.2406590856,2111.16268275702,10.3846023270615
"49","RKL",4.025,5.626e-05,9.16698497028211
"50","BHL",71581.9613457409,18919.1123836793,9.19406622564918
"51","RKL",2.752,1.564e-05,9.3988947549614
"52","BHL",87642.4189307625,26993.8650306748,9.78231976089037
"53","RKL",4.677,6.405e-05,11.5216854970047
"54","BHL",85910.6529209622,26675.2577319588,9.77297210489894
"55","RKL",4.739,8.081e-05,9.33723503783107
"56","BHL",37133.3085777943,6026.73598217601,8.62261227118454
"57","RKL",5.419,8.247e-05,9.24500327042048
"58","BHL",47014.5745181006,10724.0244475787,10.0483483882268
"59","HSL",6.616,3428,8.31315225083376
"60","BHL",21321.9616204691,1518.3368869936,10.7945798909517
"61","RKL",4.977,7.181e-05,13.1283799672817
"62","BHL",42517.0068027211,9158.16326530612,12.1276730252673
"63","HSL",4.564,4079,12.1241071113339
"64","BHL",29797.3778307509,2020.85816448153,11.9719705132645
"65","RKL",3.079,5.499e-05,9.20574617898323
"66","BHL",34002.0401224073,6450.18701122067,10.0927753008226
"67","RKL",3.13,3.183e-05,11.5470053837925
"68","BHL",26274.3037309511,1565.68575932738,8.81476475579908
"69","RKL",4.242,7.313e-05,9.98005980069749
"70","BHL",40404.0404040404,8541.41414141414,9.50014250320633
"71","RKL",9.272,0.0001549,10.4886129254592
"72","BHL",70323.488045007,18642.7566807314,9.66736489045664
"73","HSL",5.535,3551,9.57387217453308
"74","BHL",32237.2662798195,6057.38233397808,11.0701860692512
"75","RKL",6.81,0.0001182,9.24105494511958
"76","BHL",78125,22640.625,8.34493157601406
"77","HSL",10.29,2184,13.0878393250381
"78","BHL",31230.4809494066,3966.27108057464,10.5397545151126
"79","RKL",4.93,7.933e-05,11.3497215521845
"80","BHL",19323.6714975845,1164.05797101449,10.9402380731111
"81","RKL",6.536,0.0001105,10.2765642474551
"82","BHL",23369.9462491236,1756.71885954662,10.9870210072262
"83","RKL",2.728,1.615e-05,10.0651308225139
"84","BHL",22573.3634311512,1165.23702031603,10.7670138845363
"85","RKL",5.229,7.052e-05,10.1030719524504
"86","BHL",21753.3173809006,675.005438329345,8.8631030369636
"87","RKL",8.123,0.0001486,11.2331191260346
"88","BHL",77760.4976671851,23312.5972006221,10.8625089318714
"89","RKL",4.607,6.115e-05,10.1279130643119
"90","BHL",36483.0353885443,6019.70083910981,10.3268541175226
"91","HSL",5.36,3701,11.1234774044333
"92","BHL",42936.88278231,10300.5581794762,9.9454496302666
"93","RKL",4.494,8.253e-05,12.1509284119651
"94","BHL",24131.2741312741,701.737451737452,8.59073559175116
"95","HSL",9.886,2268,10.1367549980588
"96","BHL",41841.0041841004,10569.0376569038,8.60981907085818
"97","RKL",3.136,3.353e-05,9.99001497504367
"98","BHL",25012.5062531266,1472.48624312156,9.55636965134993
"99","RKL",4.684,7.165e-05,9.17856188708667
"100","BHL",50709.939148073,13316.430020284,9.60916767552923
"101","RKL",3.843,5.627e-05,9.26879997200081
"102","BHL",50684.2372022301,13264.0648758236,9.46179236570482
"103","RKL",5.39,7.105e-05,9.77764258167923
"104","BHL",31948.8817891374,3837.0607028754,10.4938091670093
"105","RKL",5.281,7.455e-05,8.97303170096943
"106","BHL",130022.103757639,43414.3804446756,8.73370772629586
"107","RKL",5.605,9.186e-05,10.0271098444114
"108","BHL",57471.2643678161,17844.8275862069,11.6626502231915
"109","HSL",7.243,2778,10.4644654537015
"110","BHL",41858.5182084554,8421.93386354123,9.75435690303658
"111","RKL",6.839,0.000112,8.0451798670913
"112","BHL",23758.6124970302,2002.13827512473,10.5638387006261
"113","RKL",4.273,5.184e-05,9.79639167383865
